,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change
35,287,20,69,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.17,11.5,31.0,57.5,6.29,51.26,,0.0,30.0,15.0,,,,,,41.7,-9.559999999999995,22.92565947242205
36,288,20,70,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.11,6.7,26.2,67.2,6.62,59.76,,0.0,30.0,15.0,,,,,,44.36,-15.399999999999999,34.715960324616766
37,289,20,71,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.12,4.0,18.2,77.8,5.95,42.91,,0.0,30.0,15.0,,,,,,36.68,-6.229999999999997,16.984732824427475
38,290,20,72,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.01,7.1,29.7,63.2,6.37,83.1,,0.0,30.0,15.0,,,,,,81.79,-1.309999999999988,1.6016627949626945
39,291,20,73,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.24,6.8,25.8,67.3,6.02,67.9,,0.0,30.0,15.0,,,,,,72.12,4.219999999999999,-5.851358846367164
40,292,20,74,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.96,4.1,18.5,77.4,5.32,74.07,,0.0,30.0,15.0,,,,,,73.87,-0.19999999999998863,0.27074590496817197
41,293,20,75,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.1,3.6,14.9,81.5,5.6,84.92,,0.0,30.0,15.0,,,,,,81.5,-3.4200000000000017,4.19631901840491
42,294,20,76,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.09,4.7,17.0,78.3,6.17,61.4,,0.0,30.0,15.0,,,,,,58.94,-2.460000000000001,4.173736002714627
43,295,20,77,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.08,8.1,27.3,64.7,5.62,107.77,,0.0,30.0,15.0,,,,,,116.16,8.39,-7.22279614325069
44,296,20,78,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.02,4.8,19.8,75.5,5.68,67.39,,0.0,30.0,15.0,,,,,,77.51,10.120000000000005,-13.05637982195846
